Mode,SimulationRun,Iteration,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,2,28,1732,92,448.684989333153,29
RebuildWholeGraph,2,29,1848,116,451.486236929893,30
RebuildWholeGraph,2,30,1921,73,452.527354598045,31
RebuildWholeGraph,2,31,2006,85,473.181397795677,32
RebuildWholeGraph,2,32,2079,73,473.521977782249,33
RebuildWholeGraph,2,33,2154,75,474.541879057884,34
RebuildWholeGraph,2,34,2240,86,486.438734412193,35
RebuildWholeGraph,2,35,2317,77,490.139888167381,36
RebuildWholeGraph,2,36,2404,87,494.76378428936,37
RebuildWholeGraph,2,37,2506,102,495.582530856133,38
RebuildWholeGraph,2,38,2598,92,508.80137526989,39
RebuildWholeGraph,2,39,2718,120,508.846795916557,40
RebuildWholeGraph,3,4,33,33,185.752818107605,5
RebuildWholeGraph,3,5,71,38,185.769548416138,6
RebuildWholeGraph,3,6,108,37,222.790000915527,7
RebuildWholeGraph,3,7,144,36,226.986553668976,8
RebuildWholeGraph,3,8,191,47,271.077105045319,9
RebuildWholeGraph,3,9,232,41,285.636718273163,10
RebuildWholeGraph,3,10,276,44,295.807147502899,11
RebuildWholeGraph,3,11,338,62,330.217194080353,12
RebuildWholeGraph,3,12,386,48,344.558677196503,13
RebuildWholeGraph,3,13,436,50,345.51985001564,14
RebuildWholeGraph,3,14,487,51,360.930084466934,15
RebuildWholeGraph,3,15,536,49,400.662067651749,16
RebuildWholeGraph,3,16,586,50,400.777754068375,17
RebuildWholeGraph,3,17,638,52,402.425077676773,18
RebuildWholeGraph,3,18,689,51,405.940805673599,19
RebuildWholeGraph,3,19,744,55,406.282752037048,20
RebuildWholeGraph,3,20,800,56,406.283633708954,21
RebuildWholeGraph,3,21,857,57,410.502406597137,22
RebuildWholeGraph,3,22,917,60,413.779054164886,23
RebuildWholeGraph,3,23,974,57,428.554178714752,24
RebuildWholeGraph,3,24,1033,59,432.158934116364,25
RebuildWholeGraph,3,25,1097,64,440.518299102783,26
RebuildWholeGraph,3,26,1202,105,456.880031585693,27
RebuildWholeGraph,3,27,1290,88,464.540529251099,28
RebuildWholeGraph,3,28,1370,80,466.954783439636,29
RebuildWholeGraph,3,29,1462,92,468.020205974579,30
RebuildWholeGraph,3,30,1545,83,490.724652290344,31
RebuildWholeGraph,3,31,1625,80,514.956024169922,32
RebuildWholeGraph,3,32,1709,84,520.043109893799,33
RebuildWholeGraph,3,33,1850,141,523.786430358887,34
RebuildWholeGraph,3,34,1922,72,525.160675525665,35
RebuildWholeGraph,3,35,1999,77,527.381206989288,36
RebuildWholeGraph,3,36,2078,79,529.259752750397,37
RebuildWholeGraph,3,37,2166,88,540.087312221527,38
RebuildWholeGraph,3,38,2242,76,540.088856697083,39
RebuildWholeGraph,3,39,2319,77,557.411704063416,40
RebuildWholeGraph,4,4,35,35,232.408437728882,5
RebuildWholeGraph,4,5,68,33,234.565689086914,6
RebuildWholeGraph,4,6,115,47,286.074817657471,7
RebuildWholeGraph,4,7,154,39,320.474292755127,8
RebuildWholeGraph,4,8,197,43,321.456649780273,9
RebuildWholeGraph,4,9,243,46,338.369061470032,10
RebuildWholeGraph,4,10,294,51,339.392422676086,11
RebuildWholeGraph,4,11,357,63,366.100617408752,12
RebuildWholeGraph,4,12,413,56,379.558594703674,13
RebuildWholeGraph,4,13,466,53,379.647459983826,14
RebuildWholeGraph,4,14,527,61,413.463711738586,15
RebuildWholeGraph,4,15,577,50,414.282940864563,16
RebuildWholeGraph,4,16,699,122,426.836526870728,17
RebuildWholeGraph,4,17,783,84,426.836708068848,18
RebuildWholeGraph,4,18,897,114,427.669011116028,19
