Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
85,64,4,6,100,100,0,0,0,0,0,0,0,0,0,0,1,0
86,51,4,6,100,100,34,176,1,18,18,0,12,12,2,161,265,3
87,48,2,9,100,100,34,249,1,18,18,0,12,12,0,161,161,0
88,53,4,8,100,100,34,269,1,18,18,0,12,12,0,163,4242,17
89,56,3,7,100,100,0,0,0,0,0,0,0,0,0,0,1,0
90,60,2,7,100,100,0,0,0,0,0,1,0,0,2,0,2989,11
91,55,1,5,100,100,33,148,0,18,21,0,10,10,0,169,1098,4
92,53,4,6,100,100,0,0,1,0,0,0,0,0,0,0,8118,36
93,62,1,5,100,100,0,0,0,0,0,0,0,0,1,0,202,0
94,55,3,5,100,100,34,237,1,18,19,0,12,12,0,161,863,3
95,59,2,5,100,100,0,0,1,0,0,0,0,0,1,0,2709,10
96,51,2,5,100,100,34,300,1,18,20,0,11,16,0,161,189,0
97,46,2,7,100,100,34,259,1,18,18,0,12,12,0,161,161,0
98,63,2,9,100,100,0,0,0,0,0,0,0,0,0,0,192,0
99,58,3,6,100,100,34,102,0,18,18,0,10,10,0,161,373,1
100,51,3,5,100,100,0,0,0,0,0,0,0,0,0,0,1,0
